"Title","Review"
"Awesome","Beautiful mobile.worth buing it....cam clarity is too good ....Fell in love with this cam.....overall very good performance.....just have it and njoy...."
"Worth every penny","Performance: The combination of 6 Gigs of RAM is enough for smooth running off essential apps. When heavy apps run smoothly. Display: The AMOLED display with HD ready resolution was a bit old fashioned due to pixels you notice, while switching from a phone with 1080p panel. But colors are a bit oversaturated. Battery: The upgrade from a 3500maH was noticable while using this device. AMOLED display and Low resolution gives a more backup to end one day with moderate usage. Charger: Mi inc..."
"Perfect product!","Pros:1)Awesome camera! Seriously its the best camera for this price range.. and with google cam u can make it even better!Its ultrawide camera is also a lot better than most phones in this range, and i compared it to samsung M21(which has a potato camera; definetly dont recommend it), the ultrawide camera on mi A3 has lot more clarity than the M21's.Also the 48 MP camera is a real thing, and can be accessed from the pro mode in camera , and it takes stunning pictures with extreme high qual..."
"Terrific","Yes, a value for money android phone. Xiaomi really provide good features such as Camera(you can really see the crisp image), Video quality really amazed me as you can shoot video in 1080p with 30fps and even you can shoot a 4k quality. If Xiaomi would have provided an amoled display in this price range it would be a perfect fit device. Rather than that it does not provide you a 18w fast charger you have to buy it separately. Gaming and file copying are really good at performance as it has 65..."
"Delightful","Am pretty much upset that am not able get my favorite color  .  After one week usage, here's my reviews. pros:1.Nice display ad notch screen ads advantage to display.  It looks pretty cool. 2. software wise same performance looks like note 5.3. UI comes with older version need to update to latest one. updated one looks more effective then previous one. 4.Both cameras  are good. cons: 1. while playing online video scene will not cover full screen.  need to zoom in,  but some pa..."
"Perfect product!","redmi note 6 pro my first mi mobile aftr my sony xperia.. The camera just awesome.. Good display.. Good look.. I really loved it.."
"Terrific","Have been using the phone since the past week and am really happy with my purchase. Pros-1.Both the front and rear cameras are wonderful. 2. Sound quality is quite good. 3. Display quality very good. 4. Battery performance pretty good with 4000mah.5. Looks very sleek and is also very light. 6. Split screen feature good for using more than one app at a time. Cons-1. The box doesn't contain earphone. 2. The sim tray will either support one sim and a sd card or two sims. And if you wan..."
"Super!","My first Redmi Phone after moto X Play.Delieverd in just 6 hrs.Camera Quality is super. In low light also the snaps come fantastic. Will update more after usage.1) Premium touch. Ergonomic design2) Run smooth after Miui 10 update3) Battery Backup is wonderful4) Call quality is also nice5) Display is cristal clear6) Camera is decent in this segment. All 4 camera (2Front & 2       Rear) works fantastic.7) So many  productive ap installed by default. No need to use          3rd party ap..."
"Awesome","This phone is so good and this camera is very   clear and good capture wow"
"Terrific purchase","thanks flipkart for early delivery.phone is so good and performance is good so far.got the product in the morning 11am and after quiet heavy internet usage battery is going good, display quality is good, camera quality is good.value for money.. go for it without any hesitation.."
"Wonderful","This product is really good, given the price of Rs 12499 on which I bought it. I would like to list the Pros and Cons after 1 day of rigorous usage:Pros :1) Camera is amazing and really good portrait shots. In complete darkness, selfie camera even with the screen flash is able to capture very good image. Rear camera with dual LED flash is no doubt amazing.2) Battery is whopping 4000 mAh which is genuinely very good. It lasts much more than I thought.3) The processor SD 636 was being th..."
"Highly recommended","Xiaomi's Redmi Note series has always been a powerhouse product and Redmi Note 6 pro is no exception.Pros:- The display is nice with a notch as per 2018 trends.- 64 GB ROM/ 4 GB RAM memory combo is a fan favourite- 4000 mA battery lasts more than a day with good usage- Dual Camera at the front and back is a welcome combo and clicks great pictures.- 3.5 mm headphone jack is still present (skipped in Mi A2)Cons-- Qualcomm Snapdragon 636 processor (same as Note 5 pro)It should have b..."
"Excellent","Pros:+ Front and Rear Camera Quality is Excellent. you won't find better camera like this even at 18k. No Honor, RealMe phones beat this Camera Quality+ large Display..very bright and sharp.+ Protrait Mode on Both cameras is Awesome.+ Battery Performance is Excellent 5 Star rating.No heat.it charge 4000mAh battery in 90mins with bundled 5V/2A charger.Supports QC 3.0+ Smooth performance from SD636 coupled with 4GB RAM. Xiaomi explained why they had choosen SD636 Again in RN 6Pro+ Finger ..."
"Excellent","Ordered this mobile as I wanted to upgrade to a dual camera mobile.Thanks to flipkart I received the product just on the next day of ordering. Performing perfectly and as per the expectations as of now with following observations. Pros:1. Superb rear cam2. Good battery life3. big screen and fine resolution4. Sound quality is very fine in external as well as multiple options while using headphones5. Sufficient storage & memory spaceCons:1. I wanted to order 6GB RAM with blue or red c..."
"Brilliant","i am really happy for redmi Y2 phone , value of money evarything is good better, but it is not a full notch display otherwise redmi Y2 worth of money, good nice Better i am happy for that, finally thank you Flipkart for your care, customer satisfaction, fast delivery everything think is good no no not good, very very very good,keep it up Flipkart & keep moving"
